,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,26,"Matsui, Payton",Fr,5-7,160,4/15/2000,"Lakeville, Minn.",Forwards,67,,,,Aberdeen,NAHL,Alaska
,9,"McKim, Matt",Fr,5-10,175,3/17/2000,"St. John's, Newf.",Forwards,70,,,,Valley Wildcats,MJAHL,Alaska
,18,"Murphy, Riley",So,6-0,192,10/29/1999,"Rockford, Mich.",Forwards,72,,,,Aberdeen Wings,NAHL,Alaska
,32,"Mylymok, Connor",Fr,6-1,205,3/18/2000,"Wilcox, Miss.",Forwards,73,,,,Alaska,D1 Independent,Alaska
,28,"Nicholetts, Brayden",So,5-11,180,8/27/1999,"Spruce Grove, Alb.",Forwards,71,,,,Spruce Grove,AJHL,Alaska
,11,"Risk, Brady",So,5-9,175,3/16/1999,"Medicine Hat, Alb.",Forwards,69,,,,Drumheller,AJHL,Alaska
,14,"Rubtsov, Anton",So,5-10,165,3/6/1999,"St. Petersburg, Russia",Forwards,70,,,,Shreveport,NAHL,Alaska
,29,"Vertes, Nátán",Fr,5-11,173,5/19/2000,"Budapest, Hungary",Forwards,71,,,,Aberdeen,NAHL,Alaska
,10,"Zohovs, Eriks",Jr,6-0,196,11/26/1997,"Rīga, Latvia",Forwards,72,,,,Zemgale,Europe,Alaska
,1,"Allin, Daniel",So,6-2,185,2/11/2000,"Edmonton, Alb.",Goaltenders,74,,,,Drumheller,AJHL,Alaska
,30,"Grigals, Gustavs Davis",Sr,6-2,189,7/22/1998,"Rīga, Latvia",Goaltenders,74,,,,Alaska,D-I Independent,Alaska
,35,"Ryman, Austin",So,5-10,185,11/20/2000,"Fairbanks, Alaska",Goaltenders,70,,,,Fairbanks,NAHL,Alaska
,7,"Head, Wyatt",,,0,3/28/1999,"Kelowna, B.C.",Defensemen,0,,,,Alaska-Anchorage,WCHA,Alaska-Anchorage
,3,"Lane, Andrew",Sr,5-9,179,2/19/1997,"Howell, Mich.",Defensemen,69,,,,Shreveport,NAHL,Alaska-Anchorage
,28,"Mussio, Devon",,,0,3/9/1999,"Vancouver, B.C.",Defensemen,0,,,,Alaska-Anchorage,WCHA,Alaska-Anchorage
,8,"Pears, Drayson",Sr,6-1,180,3/9/1998,"Shawnigan Lake, B.C.",Defensemen,73,,,,Victoria,BCHL,Alaska-Anchorage
,4,"Robillard, Troy",Jr,6-3,205,10/12/1998,"Coquitlam, B.C.",Defensemen,75,,,,Coquitlam Express,BCHL,Alaska-Anchorage
,40,"Camrud, Brayden",Jr,5-9,180,7/2/1998,"Saskatoon, Sask.",Forwards,69,,,,Humboldt,SJHL,Alaska-Anchorage
,16,"Court, Zach",Sr,5-10,175,1/4/1997,"Winnipeg, Man.",Forwards,70,,,,Merritt,BCHL,Alaska-Anchorage
,19,"Glover, Drake",Sr,6-0,194,3/5/1996,"Anchorage, Alaska",Forwards,72,,,,Lone Star,NAHL,Alaska-Anchorage
,15,"Lantz, Taylor",Jr,5-8,160,6/21/1998,"Coleraine, Minn.",Forwards,68,,,,Minot,NAHL,Alaska-Anchorage
,5,"Martin, Josh",,,0,2/18/1999,"Brownstown, Mich.",Forwards,0,,,,Alaska-Anchorage,WCHA,Alaska-Anchorage
,25,"Mitchell, Marcus",Jr,6-2,200,10/12/1998,"Kelowna, B.C.",Forwards,74,,,,Nanaimo,BCHL,Alaska-Anchorage
,14,"Nash, Jared",Sr,5-11,185,1/16/1998,"Stratford, Ont.",Forwards,71,,,,Penticton,BCHL,Alaska-Anchorage
,25,"Schachle, Porter",,,0,11/22/2000,"Wasilla, Alaska",Forwards,0,,,,Vermont,HEA,Alaska-Anchorage
,39,"Stead, Kristian",Sr,6-2,192,10/17/1996,"Merritt, B.C.",Goaltenders,74,,,,Nipawin,SJHL,Alaska-Anchorage
,32,"Babichuk, Cory",So,5-10,160,9/28/1998,"Edmonton, Alb.",Defensemen,70,,,,Rensselaer,ECAC,Vermont
,24,"Kelly, Brian",Gr,6-0,180,12/24/1997,"Purchase, N.Y.",Defensemen,72,,,,Connecticut,USPHL,Vermont
,5,"Leahy, Joe",Jr,6-4,198,4/29/1997,"Waterloo, Ont.",Defensemen,76,,,,Cornell,ECAC,Vermont
,2,"Long, Carter",Sr,6-3,220,2/13/1998,"Yorktown, Va.",Defensemen,75,,,,Lincoln,USHL,Vermont
,6,"Lucas, Andrew (C)",Jr,5-11,160,2/5/1999,"Alexandria, Va.",Defensemen,71,,,,Brooks,AJHL,Vermont
,15,"Münzenberger, Luca",Fr,6-3,200,11/24/2002,"Düsseldorf, Germany",Defensemen,75,2021,EDM,3,Kölner U20,,Vermont
,3,"Petrillo, Andrew",Sr,5-10,190,3/12/1998,"Pompton Plains, N.J.",Defensemen,70,,,,Central Illinois,USHL,Vermont
,27,"Schiavon, Cody",So,6-0,201,7/1/2000,"West Kelowna, B.C.",Defensemen,72,,,,Vermont,HEA,Vermont
,7,"Stucker, Robbie",Sr,6-4,178,9/30/1998,"St. Paul, Minn.",Defensemen,76,2017,CLB,7,Minnesota,Big Ten,Vermont
,17,"Bouquot, Jacques",Jr,6-1,185,2/10/2000,"South Windsor, Conn.",Forwards,73,,,,Vermont,HEA,Vermont
,14,"Buyalsky, Andrei",Fr,6-3,179,8/18/2000,"Karaganda, Kazakhstan",Forwards,75,2021,COL,3,Dubuque,USHL,Vermont
,29,"Comeau, Dallas",Sr,5-11,170,9/19/1997,"Calgary, Alb.",Forwards,71,,,,Grand Prarie,AJHL,Vermont
,12,"Hamre, Nic",Sr,5-8,180,4/25/1997,"Cumberland, Ont.",Forwards,68,,,,Brooks,AJHL,Vermont
,19,"Jellus, Simon",Fr,6-3,202,1/18/2001,"Ilava, Slovakia",Forwards,75,,,,Karlskrona HK,,Vermont
,23,"Jordan, Noah",Sr,6-5,215,3/8/1997,"Toronto, Ont.",Forwards,77,,,,North York,OJHL,Vermont
,13,"Lagunov, Philip",Sr,6-1,193,11/22/1998,"Hamilton, Ont.",Forwards,73,,,,Massachusetts,HEA,Vermont
,4,"Lemay, William",Jr,5-11,185,12/28/1998,"Marieville, Que.",Forwards,71,,,,Brooks,AJHL,Vermont
,9,"Maatta, Joel",Fr,6-3,202,7/6/2002,"Helsinki, Finland",Forwards,75,2022,EDM,7,Sioux City,USHL,Vermont
,10,"Mountain, Luke",Fr,6-1,188,2/25/2000,"Woodbury, Minn.",Forwards,73,,,,Maryland,NAHL,Vermont
,34,"Spitserov, Timofei",Fr,6-0,176,3/26/2002,"St. Petersburg, Russia",Forwards,72,2020,SJS,7,Muskegon,USHL,Vermont
,20,"Tarkiainen, Jesper",Fr,6-0,188,10/2/2001,"Naperville, Ill.",Forwards,72,,,,Jokerit U20,,Vermont
,18,"Tinling, Azzaro",So,6-1,220,12/20/1999,"Pointe-Claire, Que.",Forwards,73,,,,Hawkesbury,CCHL,Vermont
,26,"Vitolins, Raimonds",So,6-1,180,1/12/2002,"Ogre, Latvia",Forwards,73,,,,Vermont,HEA,Vermont
,22,"Walther, Isak",Fr,6-3,179,8/2/2001,"Södertälje, Sweden",Forwards,75,,,,Södertälje SK J20,,Vermont
,16,"Zapernick, Will",So,5-10,180,11/16/1999,"Edmonton, Alb.",Forwards,70,,,,Sherwood Park,AJHL,Vermont
,35,"Carriere, Gabe",So,6-2,185,11/5/2000,"Ottawa, Ont.",Goaltenders,74,,,,Waterloo,USHL,Vermont
,1,"Harmon, Tyler",Gr,6-2,205,10/17/1997,"Ramsey, N.J.",Goaltenders,74,,,,Vermont,Hockey East,Vermont
,30,"Hudson, Cole",Fr,6-1,161,3/13/2000,"Tonawanda, N.Y.",Goaltenders,73,,,,Vermont,HEA,Vermont
,29,"Bisson, Adrien",Jr,6-1,165,1/18/1999,"Cornwall, Ont.",Defensemen,73,,,,Maine,Hockey East,Maine
,37,"Breazeale, David",Fr,6-4,201,4/22/2000,"Jenison, Mich.",Defensemen,76,,,,Shreveport,NAHL,Maine
,22,"Bruneski, Dawson",Jr,5-11,181,6/24/1999,"Camrose, Alb.",Defensemen,71,,,,Maine,HEA,Maine
,6,"Butala, Simon",Sr,6-2,201,8/1/1998,"Downington, Pa.",Defensemen,74,,,,Central Illinois,USHL,Maine
,5,"Duerr, Samuel",,6-1,201,3/22/2002,"Chicago, Ill.",Defensemen,73,,,,Maine,HEA,Maine
,20,"Gould, Tim",Fr,6-0,181,2/6/2000,"Moncton, N.B.",Defensemen,72,,,,Amherst,MJAHL,Maine
,2,"Sirota, Jakub",Sr,6-2,190,12/20/1998,"Prerov, Czech Republic",Defensemen,74,,,,Lone Star,NAHL,Maine
,26,"Spicer, Cameron",Sr,6-1,192,2/22/1996,"Erie, Colo.",Defensemen,73,,,,Islanders Hockey Club,USPHL,Maine
,27,"Breen, Lynden",So,5-9,168,5/31/2001,"Grand Bay-Westfield, N.B.",Forwards,69,,,,Fargo,USHL,Maine
,24,"Dawe, Adam",Sr,5-8,145,1/18/1999,"Gander, Newf.",Forwards,68,,,,Sioux Falls,USHL,Maine
,17,"Drobot, AJ",Jr,5-10,185,4/14/1998,"Churchville, Pa.",Forwards,70,,,,Fargo,USHL,Maine
,36,"Fawcett, Matthew",Jr,5-6,148,4/22/1999,"Lincoln, R.I.",Forwards,66,,,,Quinnipic,ECAC,Maine
,3,"Hebert, Grant",Sr,6-3,190,5/22/1997,"St. Andrews West, Ont.",Forwards,75,,,,Robert Morris,AHA,Maine
,21,"Lindelow, Edward",Sr,6-2,200,6/10/1997,"Stockholm, Sweden",Forwards,74,,,,Minnesota,NAHL,Maine
,16,"Mulera, John",So,5-8,165,3/11/1999,"Rockville, Md.",Forwards,68,,,,Boston Jr. Bruins,USPHL,Maine
,7,"Poissant, Tristan",So,6-1,185,8/27/2000,"Les Coteaux, Que.",Forwards,73,,,,Johnstown,NAHL,Maine
,12,"Poisson, Ben",Jr,6-1,205,8/31/1999,"Vancouver, B.C.",Forwards,73,,,,Prince George,BCHL,Maine
,4,"Quinlivan, Jack",Sr,6-0,195,5/20/1996,"Shrewsbury, Mass.",Forwards,72,,,,Jr. Bruins,USPHL,Maine
,23,"Renwick, Nolan",Fr,6-3,196,2/16/2001,"Milestone, Sask.",Forwards,75,,,,Omaha,USHL,Maine
,14,"Schmidt-Svejstrup, Jacob",Sr,6-2,210,1/14/1998,"Charlottenlund, Denmark",Forwards,74,,,,Maine,HEA,Maine
,34,"Suthers, Keenan",Sr,6-8,245,4/27/1998,"Tecumseh, Ont.",Forwards,80,,,,St. Lawrence,ECAC,Maine
,11,"Villeneuve-Houle, Donavan",So,6-0,185,11/4/1999,"Montreal, Que.",Forwards,72,,,,Flin Flon,SJHL,Maine
,33,"Androlewicz, Connor",So,6-2,202,11/28/2000,"St. Louis, Mo.",Goaltenders,74,,,,Lincoln,USHL,Maine
,32,"Ostman, Victor",So,6-4,200,10/3/2000,"Danderyd, Sweden",Goaltenders,76,,,,Chicago,USHL,Maine
,35,"Thiessen, Matthew",Jr,6-2,208,6/9/2000,"Altona, Man.",Goaltenders,74,2018,VAN,7,Maine,HEA,Maine
,5,"Blackmun, Chase",Sr,6-0,195,4/2/1999,"Hudson, Wis.",Defensemen,72,,,,Massachusetts-Lowell,HEA,Notre-Dame
,6,"Boltmann, Jake",So,6-1,192,10/19/2001,"Edina, Minn.",Defensemen,73,2020,CGY,3,Lincoln,USHL,Notre-Dame
,17,"Helliwell, Ryan",Fr,6-0,192,8/5/2002,"Burnaby, B.C.",Defensemen,72,,,,Trail,BCHL,Notre-Dame
,3,"Karashik, Adam",Sr,6-0,205,1/15/1998,"Ridgefield, Conn.",Defensemen,72,,,,Connecticut,HEA,Notre-Dame
,4,"Leivermann, Nick",Sr,5-11,184,9/14/1998,"Eden Prairie, Minn.",Defensemen,71,2017,COL,7,Penticton,BCHL,Notre-Dame
,26,"Plucinski, Zach",So,6-1,200,7/26/2000,"Eagle River, Alaska",Defensemen,73,,,,Omaha,USHL,Notre-Dame
,29,"Raith, Charlie",Sr,5-9,167,4/30/1997,"Winnetka, Ill.",Defensemen,69,,,,Central Illinois,USHL,Notre-Dame
,24,"Stastney, Spencer",Sr,5-11,192,1/4/2000,"Mequon, Wis.",Defensemen,71,2018,NSH,5,USA U-18 Team,NTDP,Notre-Dame
,32,"Weiss, Hunter",Fr,6-3,213,3/29/2001,"Lake Forest, Ill.",Defensemen,75,,,,Minnesota,NAHL,Notre-Dame
,22,"Adams, Jack",Sr,6-6,218,2/5/1997,"Boxford, Mass.",Forwards,78,2017,DET,6,Providence,HEA,Notre-Dame
,25,"Bakich, Solag",Jr,6-0,190,1/8/1998,"Dallas, Texas",Forwards,72,,,,Waterloo,USHL,Notre-Dame
,23,"Bjork, Brady",So,6-1,177,5/17/1999,"Mequon, Wis.",Forwards,73,,,,St. Cloud,NAHL,Notre-Dame
,10,"Burke, Cam",Sr,5-9,170,1/8/1999,"Boxborough, Mass.",Forwards,69,,,,Notre Dame,B10,Notre-Dame
,28,"Carpenter, Tyler",Fr,5-11,185,8/27/2000,"Palatine, Ill.",Forwards,71,,,,Omaha,USHL,Notre-Dame
,21,"Ellis, Max",Jr,5-9,165,1/18/2000,"Canton, Mich.",Forwards,69,,,,Muskegon,USHL,Notre-Dame
,8,"Janicke, Justin",Fr,6-0,184,6/30/2003,"Maple Grove, Minn.",Forwards,72,2021,SEA,7,USA U-18 Team,NTDP,Notre-Dame
,27,"Janicke, Trevor",Jr,5-10,195,12/25/2000,"Maple Grove, Minn.",Forwards,70,2019,ANA,5,Central Illinois,USHL,Notre-Dame
,14,"Lansdell, Jesse",Jr,5-11,185,8/5/1998,"Surrey, B.C.",Forwards,71,,,,Notre Dame,B10,Notre-Dame
,20,"Pivonka, Jake",Sr,6-0,200,2/28/2000,"Naperville, Ill.",Forwards,72,2018,NYI,4,Notre Dame,B10,Notre-Dame
,12,"Rolston, Ryder",So,6-2,185,10/31/2001,"Birmingham, Mich.",Forwards,74,2020,COL,5,Waterloo,USHL,Notre-Dame
,9,"Silianoff, Grant",So,5-11,170,1/4/2001,"Edina, Minn.",Forwards,71,,,,Cedar Rapids,USHL,Notre-Dame
,18,"Slaggert, Graham",Sr,6-0,191,4/6/1999,"South Bend, Ind.",Forwards,72,,,,Cedar Rapids,USHL,Notre-Dame
,19,"Slaggert, Landon",So,6-0,190,6/25/2002,"South Bend, Ind.",Forwards,72,2020,CHI,3,USA U-18 Team,NTDP,Notre-Dame
,11,"Strand, Hunter",Fr,5-11,187,11/13/2002,"Anchorage, Alaska",Forwards,71,,,,Tri-City,USHL,Notre-Dame
,30,"Bischel, Ryan",Jr,6-1,187,7/5/1999,"Medina, Minn.",Goaltenders,73,,,,Fargo,USHL,Notre-Dame
,35,"Galajda, Matthew",Sr,6-0,198,10/7/1997,"Aurora, Ont.",Goaltenders,72,,,,Cornell,ECAC,Notre-Dame
,33,"Graziano, Josh",Jr,6-3,202,3/22/2000,"Buffalo, N.Y.",Goaltenders,75,,,,Union,ECAC,Notre-Dame
,34,"Klaers, Conor",Sr,6-0,175,11/11/1997,"St. Louis Park, Minn.",Goaltenders,72,,,,Notre Dame Club,ACHA,Notre-Dame
,5,"Alger, Linden",So,6-3,194,4/9/2000,"Centerville, Mass.",Defensemen,75,,,,Youngstown,USHL,Massachusetts
,25,"Bohlinger, Aaron",So,5-9,165,8/25/2000,"Walden, N.Y.",Defensemen,69,,,,Waterloo,USHL,Massachusetts
,17,"Demin, Slava",Sr,6-2,190,4/4/2000,"Cypress, Calif.",Defensemen,74,2018,VGK,4,Denver,NCHC,Massachusetts
,3,"Farmer, Ty",Sr,5-11,177,1/6/1998,"O'Fallon, Mo.",Defensemen,71,,,,Massachusetts,HEA,Massachusetts
,26,"Felix, Colin",Sr,6-1,195,1/7/1999,"Ocean City, N.J.",Defensemen,73,,,,Madison,USHL,Massachusetts
,4,"Kessel, Matthew",Jr,6-3,203,6/23/2000,"Bloomfield Hills, Mich.",Defensemen,75,2020,STL,5,Sioux Falls,USHL,Massachusetts
,23,"Morrow, Scott",Fr,6-2,192,11/1/2002,"Darien, Conn.",Defensemen,74,2021,CAR,2,Shattuck St. Mary's,Prep,Massachusetts
,6,"Ufko, Ryan",Fr,5-10,181,5/7/2003,"Long Island, N.Y.",Defensemen,70,2021,NSH,4,Chicago,USHL,Massachusetts
,20,"Baker, Matt",Sr,5-11,174,2/21/1997,"Midhurst, Ont.",Forwards,71,,,,Dartmouth,ECAC,Massachusetts
,29,"DeDobbelaer, Eric",Fr,5-10,180,6/15/2000,"Hamilton, Ont.",Forwards,70,,,,Brantford,OJHL,Massachusetts
,27,"Del Gaizo, Anthony",Sr,5-10,200,1/31/1998,"Basking Ridge, N.J.",Forwards,70,,,,Muskegon,USHL,Massachusetts
,9,"Donaldson, Cam",Sr,5-8,170,7/14/1998,"Pittsboro, N.C.",Forwards,68,,,,Cornell,ECAC,Massachusetts
,28,"Faith, Eric",Jr,5-11,181,4/18/1998,"Carp, Ont.",Forwards,71,,,,Brockville,CCHL,Massachusetts
,22,"Harding, Jerry",Jr,6-2,210,3/22/1999,"Canton, Mass.",Forwards,74,,,,Providence,HEA,Massachusetts
,7,"Kiefiuk, Cal",Jr,5-10,185,2/28/2000,"Macomb, Mich.",Forwards,70,,,,Massachusetts,HEA,Massachusetts
,14,"Lautenbach, Ryan",Fr,5-11,185,2/27/2000,"Dearborn, Mich.",Forwards,71,,,,Omaha,USHL,Massachusetts
,13,"Lebster, Reed",Jr,6-0,188,3/4/1999,"Grand Rapids, Mich.",Forwards,72,,,,Massachusetts,HEA,Massachusetts
,10,"Lopina, Josh",So,6-2,194,2/16/2001,"Minooka, Ill.",Forwards,74,2021,ANA,4,Lincoln,USHL,Massachusetts
,15,"MacDonald, Oliver",So,5-10,185,11/7/2000,"Grosse Pointe, Mich.",Forwards,70,,,,Massachusetts,HEA,Massachusetts
,18,"Makar, Taylor",Fr,6-3,190,3/13/2001,"Calgary, Alb.",Forwards,75,2021,COL,7,Brooks,AJHL,Massachusetts
,11,"Mercuri, Lucas",Fr,6-3,192,3/7/2002,"Montréal, Que.",Forwards,75,,,,Des Moines,USHL,Massachusetts
,19,"Sullivan, Ryan",So,5-10,181,3/7/2000,"Grosse Pointe, Mich.",Forwards,70,,,,Massachusetts,HEA,Massachusetts
,8,"Trivigno, Bobby (C)",Sr,5-8,152,7/15/1999,"Setauket, N.Y.",Forwards,68,,,,Waterloo,USHL,Massachusetts
,12,"Wait, Garrett",Sr,6-0,190,6/13/1998,"Edina, Minn.",Forwards,72,,,,Massachusetts,HEA,Massachusetts
,32,"Graham, Henry",So,6-0,181,7/25/2000,"Manhattan, N.Y.",Goaltenders,72,,,,Massachusetts,HEA,Massachusetts
,31,"Murray, Matt",Sr,6-1,194,2/2/1998,"St. Albert, Alb.",Goaltenders,73,,,,Fargo,USHL,Massachusetts
,1,"Pavicich, Luke",Fr,6-3,174,3/21/2002,"Clarence Center, N.Y.",Goaltenders,75,,,,Kenai River,NAHL,Massachusetts
,4,"Brinkman, Ben",Sr,6-1,220,10/4/2000,"Edina, Minn.",Defensemen,73,2019,DAL,6,Minnesota,,Minnesota
,5,"Denman, Matt",Sr,6-0,185,4/20/1998,"Prior Lake, Minn.",Defensemen,72,,,,Cedar Rapids,USHL,Minnesota
,14,"Faber, Brock",So,6-1,200,8/22/2002,"Maple Grove, Minn.",Defensemen,73,2020,LAK,2,USA U-18 Team,NTDP,Minnesota
,26,"Fish, Carl",So,6-3,210,11/9/1999,"St. Paul, Minn.",Defensemen,75,,,,Bismarck,NAHL,Minnesota
,23,"Johnson, Ryan",Jr,6-1,190,7/24/2001,"Irvine, Calif.",Defensemen,73,2019,BUF,1,Sioux Falls,USHL,Minnesota
,6,"Koster, Mike",So,5-10,180,4/13/2001,"Chaska, Minn.",Defensemen,70,2019,TOR,5,Tri-City,USHL,Minnesota
,2,"LaCombe, Jackson",Jr,6-2,200,1/9/2001,"Eden Prairie, Minn.",Defensemen,74,2019,ANA,2,Chicago,USHL,Minnesota
,28,"Rossini, Sam",Gr,6-4,190,6/19/1998,"Burnville, Minn.",Defensemen,76,,,,Penticton,BCHL,Minnesota
,55,"Staudacher, Matt",Jr,6-1,200,2/7/2000,"Fenton, Mich.",Defensemen,73,,,,Minnesota,B10,Minnesota
,22,"Brodzinski, Bryce",Jr,6-0,205,8/9/2000,"Blaine, Minn.",Forwards,72,2019,PHI,7,Omaha,USHL,Minnesota
,10,"Broz, Tristan",Fr,6-0,180,10/10/2002,"Bloomington, Minn.",Forwards,72,2021,PIT,2,Minnesota,Big Ten,Minnesota
,21,"Cruikshank, Grant",Sr,5-11,190,7/19/1998,"Delafield, Wis.",Forwards,71,,,,Colorado College,NCHC,Minnesota
,7,"Huglen, Aaron",Fr,6-0,170,3/6/2001,"Roseau, Minn.",Forwards,72,2019,BUF,4,Fargo,USHL,Minnesota
,89,"Knies, Matthew",Fr,6-3,210,10/17/2002,"Phoenix, Ariz.",Forwards,75,2021,TOR,2,Tri-City,USHL,Minnesota
,29,"Lucius, Chaz",Fr,6-1,185,5/3/2003,"Grant, Minn.",Forwards,73,2021,WPG,1,USA U-18 Team,NTDP,Minnesota
,27,"McLaughlin, Blake",Sr,6-0,170,2/14/2000,"Grand Rapids, Minn.",Forwards,72,2018,ANA,3,Chicago,USHL,Minnesota
,39,"Meyers, Ben (C)",Jr,5-11,200,11/15/1998,"Delano, Minn.",Forwards,71,,,,Fargo,USHL,Minnesota
,24,"Nelson, Jaxon",Jr,6-4,225,3/30/2000,"Magnolia, Minn.",Forwards,76,,,,Omaha,USHL,Minnesota
,18,"Nevers, Mason",So,5-11,175,4/3/2001,"Edina, Minn.",Forwards,71,,,,Des Moines,USHL,Minnesota
,25,"Perbix, Jack",Jr,6-1,190,9/13/2000,"Elk River, Minn.",Forwards,73,2018,ANA,4,Western Michigan,NCHC,Minnesota
,77,"Pitlick, Rhett",Fr,5-10,165,2/7/2001,"Chaska, Minn.",Forwards,70,2019,MTL,5,Tri-City,USHL,Minnesota
,16,"Schmidt, Colin",Jr,6-4,230,1/6/2000,"Wayzata, Minn.",Forwards,76,,,,Union,ECAC,Minnesota
,11,"Sorenson, Jonny",Jr,6-1,180,9/21/1999,"St. Louis Park, Minn.",Forwards,73,,,,Minnesota,B10,Minnesota
,9,"Walker, Sammy (C)",Sr,5-11,180,6/7/1999,"Edina, Minn.",Forwards,71,2017,TBL,7,Edina,USHS,Minnesota
,31,"Bartoszkiewicz, Owen",Fr,6-1,195,3/11/2003,"Northville, Mich.",Goaltenders,73,,,,Youngstown,USHL,Minnesota
,33,"Boynton, Brennan",Fr,6-0,175,8/1/2000,"Champlin, Minn.",Goaltenders,72,,,,Fargo,USHL,Minnesota
,1,"Close, Justen",Jr,5-10,175,5/20/1998,"Kindersley, Sask.",Goaltenders,70,,,,Kindersley,SJHL,Minnesota
,22,"Cesana, Dennis (C)",Sr,5-9,189,4/4/1998,"Providence, R.I.",Defensemen,69,,,,Brooks,AJHL,Michigan-State
,5,"Connor, Powell",So,6-2,183,5/4/2000,"Vernon, B.C.",Defensemen,74,,,,Michigan State,B10,Michigan-State
,6,"Dybicz, Cal",So,6-1,181,7/16/2000,"Elk Grove Village, Ill.",Defensemen,73,,,,Tri-City,USHL,Michigan-State
,2,"Gallacher, Aiden",So,6-1,200,3/20/2000,"Rochester Hills, Mich.",Defensemen,73,,,,Michigan State,B10,Michigan-State
,7,"Gucciardi, David",Fr,6-1,193,10/9/2002,"Toronto, Ont.",Defensemen,73,2022,WSH,7,Waterloo,USHL,Michigan-State
,8,"Krygier, Cole",Sr,6-2,191,5/5/2000,"Novi, Mich.",Defensemen,74,2018,FLA,7,Lincoln,USHL,Michigan-State
,15,"Krygier, Christian",Sr,6-2,193,5/5/2000,"Novi, Mich.",Defensemen,74,2018,NYI,7,Lincoln,USHL,Michigan-State
,4,"Nienhuis, Nash",So,5-10,176,12/5/1999,"Sarnia, Ont.",Defensemen,70,,,,Omaha,USHL,Michigan-State
,21,"Berger, Chris",Sr,5-9,185,4/4/1998,"Buffalo, N.Y.",Forwards,69,,,,Des Moines,USHL,Michigan-State
,11,"Davidson, Jeremy",So,5-10,165,2/28/2000,"Schoolcraft, Mich.",Forwards,70,,,,Fargo,USHL,Michigan-State
,14,"Goodsir, Adam",Sr,6-0,188,9/22/1998,"Okemos, Mich.",Forwards,72,,,,Michigan State,B10,Michigan-State
,17,"Haskins, Kyle",So,5-10,190,2/16/2000,"Huntington, Vt.",Forwards,70,,,,Michigan State,B10,Michigan-State
,10,"Hodges, A.J.",So,6-0,184,8/24/2001,"Littleton, Colo.",Forwards,72,,,,Michigan State,B10,Michigan-State
,23,"Joshua, Jagger",Jr,6-2,196,3/29/1999,"Dearborn, Mich.",Forwards,74,,,,Muskegon,USHL,Michigan-State
,26,"Kelly, Tanner",Fr,5-10,165,5/11/2002,"San Diego, Calif.",Forwards,70,,,,Muskegon,USHL,Michigan-State
,9,"Lewandowski, Mitchell",Sr,5-9,183,4/17/1998,"Clarkston, Mich.",Forwards,69,,,,Chicago,USHL,Michigan-State
,18,"Loughran, Griffin",Sr,5-6,145,11/13/1998,"West Seneca, N.Y.",Forwards,66,,,,Michigan State,B10,Michigan-State
,27,"Mattson, Mitchell",Sr,6-4,202,1/2/1998,"Grand Rapids, Minn.",Forwards,76,2016,CAL,5,Sioux Falls,USHL,Michigan-State
,24,"Middendorf, Erik",So,6-1,191,7/11/2000,"Scottsdale, Ariz.",Forwards,73,,,,Colorado College,NCHC,Michigan-State
,19,"Muller, Nicolas",Jr,6-0,168,6/21/1999,"Arisdorf, Switzerland",Forwards,72,,,,Modo,Europe,Michigan-State
,20,"Nodler, Josh",Jr,5-10,191,4/27/2001,"Oak Park, Mich.",Forwards,70,2019,CGY,5,Massachusetts,HEA,Michigan-State
,13,"Papp, Kristof",So,5-11,174,6/27/2001,"Budapest, Hungary",Forwards,71,,,,Des Moines,USHL,Michigan-State
,16,"Tucker, Jesse",Fr,5-11,193,3/1/2000,"Longlac, Ont.",Forwards,71,,,,Michigan State,B10,Michigan-State
,29,"Charleson, Pierce",So,6-2,186,2/27/2000,"Aurora, Ont.",Goaltenders,74,,,,Michigan State,B10,Michigan-State
,1,"DeRidder, Drew",Sr,5-11,167,5/1/2000,"Fenton, Mich.",Goaltenders,71,,,,Michigan State,B10,Michigan-State
,30,"Mor, Jon",So,6-2,190,7/20/2000,"Highland Park, Ill.",Goaltenders,74,,,,Langley,BCHL,Michigan-State
,12,"Austin, Nick",Sr,5-11,185,11/16/1997,"St. Louis Park, Minn.",Defensemen,71,,,,Colgate,ECAC,Mass-Lowell
,16,"Blanchard, Gabe",Fr,6-0,194,9/15/2000,"East Aurora, N.Y.",Defensemen,72,,,,Sioux City,USHL,Mass-Lowell
,10,"Engum, Brehdan",So,6-2,215,8/10/2000,"Burnsville, Minn.",Defensemen,74,,,,Waterloo,USHL,Mass-Lowell
,6,"Jonsson, Isac",Fr,5-10,176,10/8/2000,"Ängelholm, Sweden",Defensemen,70,,,,Tri-City,USHL,Mass-Lowell
,17,"Korencik, Marek",Jr,6-3,200,7/19/1999,"Žilina, Slovakia",Defensemen,75,,,,Luleå HF,Europe,Mass-Lowell
,11,"McDonald, Jon",Sr,6-0,180,6/15/1998,"Livonia, Mich.",Defensemen,72,,,,Fargo,USHL,Mass-Lowell
,14,"Meehan, Ben",So,6-0,190,4/20/2001,"Walpole, Mass.",Defensemen,72,2020,LAK,5,Cedar Rapids,USHL,Mass-Lowell
,7,"Schulting, Jordan",Jr,6-2,190,8/6/1999,"Penticton, B.C.",Defensemen,74,,,,UMass Lowell,HEA,Mass-Lowell
